"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15","good_condition","renovated","city"
"12639",379500,4,2.25,2120,53578,2,0,2,4,7,2120,0,1985,0,98022,47.2041,-122.021,2120,53578,"yes","no","Enumclaw"
"7989",230000,2,1,770,6450,1,0,0,4,6,770,0,1948,0,98106,47.531,-122.358,780,6063,"yes","no","Seattle"
"8112",435000,3,2.5,1730,46638,2,0,0,3,8,1730,0,1991,0,98045,47.4614,-121.709,1750,35508,"yes","no","North Bend"
"21355",495000,4,2.5,3390,7870,2,0,0,3,8,3390,0,2014,0,98188,47.4536,-122.274,1960,10069,"yes","no","Seattle"
"20996",450000,3,2.25,1620,997,2.5,0,0,3,8,1540,80,2012,0,98027,47.5394,-122.027,1620,1068,"yes","no","Issaquah"
"18076",1695000,2,2.25,3170,3000,2,0,2,5,10,1990,1180,1900,0,98109,47.6291,-122.351,2980,5061,"yes","no","Seattle"
"3411",390000,2,1.75,1150,2723,1,0,0,4,7,770,380,1923,0,98102,47.6357,-122.322,1440,4000,"yes","no","Seattle"
"11642",350000,2,1.5,1150,7552,1,0,1,3,7,1150,0,1944,0,98125,47.7298,-122.286,1910,8145,"yes","no","Seattle"
"13770",263850,4,2.25,2300,7524,2,0,0,4,8,2300,0,1978,0,98023,47.313,-122.388,2270,8025,"yes","no","Federal Way"
"20760",260000,5,2.5,2025,7760,2,0,0,3,7,2025,0,2007,0,98001,47.2671,-122.256,1664,9000,"yes","no","Auburn"
"443",641000,2,1,1420,5332,1,0,0,3,8,1070,350,1953,0,98105,47.6694,-122.275,2400,5406,"yes","no","Seattle"
"7978",630000,2,2.5,2290,3507,2,0,0,3,9,2290,0,2005,0,98029,47.5545,-122.002,2290,3640,"yes","no","Issaquah"
"12884",472500,4,1.75,1440,8536,1,0,0,4,7,1440,0,1961,0,98033,47.6775,-122.18,1720,9748,"yes","no","Kirkland"
"5533",602000,4,2.5,2000,7376,2,0,0,3,8,2000,0,1990,0,98029,47.5719,-121.999,1950,5218,"yes","no","Issaquah"
"17319",489000,2,1.75,1810,4220,2,0,0,3,8,1810,0,2004,0,98053,47.7177,-122.034,1350,4479,"yes","no","Redmond"
"3550",652427,4,2.25,2770,13129,2,0,0,4,8,2770,0,1979,0,98074,47.6268,-122.05,2400,13129,"yes","no","Sammamish"
"3096",210000,3,1,1080,21043,1,0,0,3,6,1080,0,1942,0,98106,47.5515,-122.357,1380,7620,"yes","no","Seattle"
"4194",360000,3,1.5,1340,1110,2,0,0,3,7,1040,300,1999,0,98117,47.698,-122.366,1220,1110,"yes","no","Seattle"
"6196",2400000,4,3.5,5860,7200,2,0,0,5,10,3690,2170,1907,0,98112,47.6287,-122.287,4150,7200,"yes","no","Seattle"
"15257",375000,3,1.75,1160,22470,1,0,0,4,7,1160,0,1976,0,98028,47.7595,-122.23,1940,15999,"yes","no","Kenmore"
"20922",1175000,4,3.25,3780,10099,1,0,1,3,11,2240,1540,2006,0,98006,47.5508,-122.192,3120,10669,"yes","no","Bellevue"
"20669",430100,3,2.25,1400,1078,2,0,0,3,8,940,460,2009,0,98144,47.5701,-122.288,1420,1230,"yes","no","Seattle"
"10571",433000,4,2.5,2280,7568,2,0,0,4,7,2280,0,2001,0,98056,47.5115,-122.194,2280,5312,"yes","no","Renton"
"644",729500,3,2.5,1660,1091,3,0,1,3,9,1530,130,2015,0,98116,47.5818,-122.402,1510,1352,"yes","no","Seattle"
"217",1505000,5,3,3300,33474,1,0,3,3,9,1870,1430,1957,1991,98040,47.5673,-122.21,3836,20953,"yes","yes","Mercer Island"
"6935",223000,3,1,1220,71191,1,0,0,3,6,1220,0,1952,0,98023,47.3261,-122.353,1960,15378,"yes","no","Federal Way"
"5291",420000,3,1.5,1050,6615,1,0,0,4,6,800,250,1950,0,98199,47.6578,-122.39,1530,5250,"yes","no","Seattle"
"4695",599900,3,1.5,2605,12030,1,0,0,3,8,1355,1250,2003,0,98019,47.7725,-121.899,1590,15242,"yes","no","Duvall"
"3645",600000,4,1.5,1770,6014,1.5,0,0,4,7,1240,530,1946,0,98116,47.5773,-122.393,1740,6014,"yes","no","Seattle"
"19132",163000,2,2,1250,7543,1,0,0,3,7,1250,0,1962,0,98198,47.4051,-122.296,1250,7506,"yes","no","Seattle"
"8031",920000,5,4.5,3820,5750,2,0,3,3,9,2830,990,2000,0,98116,47.5581,-122.385,1750,5750,"yes","no","Seattle"
"1909",439950,4,2.5,2380,12067,2,0,0,3,7,2380,0,2002,0,98059,47.4873,-122.144,2330,8621,"yes","no","Renton"
"4823",760000,3,1.75,1410,15120,1,0,0,4,7,1410,0,1950,0,98004,47.5974,-122.195,1880,15120,"yes","no","Bellevue"
"14589",350000,3,2.25,1840,9929,1,0,0,3,7,1200,640,1987,0,98028,47.7408,-122.236,1710,9929,"yes","no","Kenmore"
"4353",259950,2,2,1070,649,2,0,0,3,9,720,350,2008,0,98106,47.5213,-122.357,1070,928,"yes","no","Seattle"
"12022",289500,3,1,1200,5525,1,0,0,2,7,1200,0,1947,0,98115,47.6981,-122.325,1580,7200,"no","no","Seattle"
"10682",795000,4,2.5,2920,14210,2,0,0,4,10,2920,0,1978,0,98007,47.6196,-122.15,2840,13702,"yes","no","Bellevue"
"13806",228000,2,1,1800,9236,1,0,0,3,7,1800,0,1954,0,98030,47.3792,-122.198,1730,5701,"yes","no","Kent"
"8584",509000,2,1.5,1930,3521,2,0,0,3,8,1930,0,1989,0,98007,47.6092,-122.146,1840,3576,"yes","no","Bellevue"
"16968",465000,3,1.75,1410,6886,1,0,0,3,7,1410,0,1924,2013,98133,47.7183,-122.353,1410,6561,"yes","yes","Seattle"
"8898",392500,3,1,1660,8839,1,0,0,4,7,1660,0,1947,0,98155,47.7485,-122.3,1230,9236,"yes","no","Seattle"
"20521",799950,5,3.75,3760,4702,2,0,0,3,9,2780,980,2014,0,98034,47.7202,-122.223,2950,5981,"yes","no","Kirkland"
"10234",432500,3,2.5,1940,10800,1,0,0,3,8,1340,600,1979,0,98077,47.7471,-122.075,2080,9600,"yes","no","Woodinville"
"16919",830000,5,2.25,2780,10192,2,0,0,4,9,2780,0,1978,0,98007,47.6134,-122.152,2740,9900,"yes","no","Bellevue"
"15593",1681000,5,5.25,4830,18707,2,0,1,5,9,3930,900,1952,1998,98040,47.5858,-122.247,2880,10520,"yes","yes","Mercer Island"
"12748",335500,3,1,1370,6780,2,0,0,3,6,1370,0,1930,0,98125,47.7156,-122.291,1450,7214,"yes","no","Seattle"
"9002",230000,3,1,1640,7187,1,0,0,3,7,1640,0,1966,0,98058,47.455,-122.182,1340,8346,"yes","no","Renton"
"6084",320000,3,2.25,1880,7350,1,0,0,3,8,1390,490,1984,0,98058,47.4457,-122.123,1910,8400,"yes","no","Renton"
"2238",295450,3,2,2030,17120,1,0,2,4,8,1890,140,1966,0,98092,47.2953,-122.185,1870,13662,"yes","no","Auburn"
"2872",302000,2,1,900,423838,1,0,2,5,6,900,0,1925,0,98022,47.228,-122.088,1810,94960,"yes","no","Enumclaw"
"10090",383610,3,2,1230,8450,1,0,0,3,7,1230,0,1989,0,98155,47.7548,-122.305,2110,8536,"yes","no","Seattle"
"12347",390000,3,2,1010,14183,1,0,0,3,8,1010,0,1982,0,98074,47.6232,-122.043,1750,11700,"yes","no","Sammamish"
"11351",651500,4,1.5,1500,3075,2,0,0,5,7,1420,80,1929,0,98103,47.6893,-122.35,1480,3774,"yes","no","Seattle"
"17010",230000,5,1,1410,9000,1,0,0,5,7,1410,0,1967,0,98023,47.3054,-122.369,1200,8346,"yes","no","Federal Way"
"13609",447500,3,1.75,1950,6504,1,0,0,3,8,1530,420,1953,0,98115,47.6934,-122.328,1660,6552,"yes","no","Seattle"
"7219",500007,2,1.75,1820,6050,1,0,0,3,7,910,910,1950,0,98115,47.6928,-122.323,1730,6050,"yes","no","Seattle"
"8306",473000,5,3.5,3430,6872,2,0,0,3,10,2830,600,2002,0,98031,47.4065,-122.207,3650,6600,"yes","no","Kent"
"711",390000,4,2.5,2340,8548,2,0,0,3,8,2340,0,1993,0,98031,47.4206,-122.183,1970,6818,"yes","no","Kent"
"7264",606400,3,3,1800,5000,1.5,0,2,3,8,1500,300,1929,0,98119,47.6475,-122.371,1670,5000,"yes","no","Seattle"
"370",338000,4,3,2090,7500,1,0,0,3,7,1370,720,1986,0,98056,47.4888,-122.182,1810,7650,"yes","no","Renton"
"7832",540000,3,1,1050,4160,1,0,0,4,7,1050,0,1925,0,98115,47.6756,-122.3,1580,3680,"yes","no","Seattle"
"8158",220000,3,1,1460,10200,1,0,0,4,7,1460,0,1957,0,98055,47.4238,-122.197,1460,8500,"yes","no","Renton"
"17817",600000,4,2.5,2360,13500,1,0,0,4,8,1780,580,1973,0,98052,47.6315,-122.103,2780,12400,"yes","no","Redmond"
"21494",649950,3,2.5,2420,6847,2,0,0,3,9,2420,0,2009,0,98133,47.7329,-122.356,1180,8100,"yes","no","Seattle"
"13266",350000,3,1,1680,8010,1,0,0,3,7,840,840,1951,0,98117,47.6993,-122.376,1890,8778,"yes","no","Seattle"
"7946",237000,3,1,1160,6132,1,0,0,4,7,1160,0,1958,0,98056,47.5015,-122.173,1280,6132,"yes","no","Renton"
"4637",810000,4,1,2150,3588,2,0,3,4,8,1850,300,1926,0,98126,47.5767,-122.378,1950,3588,"yes","no","Seattle"
"20448",356999,3,1.5,1010,1546,2,0,0,3,8,1010,0,1971,2014,98144,47.5998,-122.311,1010,1517,"yes","yes","Seattle"
"13856",775000,4,4,3180,7650,2,0,0,3,8,2530,650,1920,0,98115,47.6887,-122.319,2000,4080,"yes","no","Seattle"
"6475",653000,3,2.5,2290,3475,2,0,0,3,9,2290,0,2006,0,98029,47.5551,-122.001,2340,3626,"yes","no","Issaquah"
"4595",850000,3,2.5,3230,5000,2,0,2,5,8,2430,800,1945,0,98117,47.7011,-122.389,1820,5000,"yes","no","Seattle"
"5405",520000,4,2.5,2280,8798,2,0,0,4,8,2280,0,1987,0,98028,47.7471,-122.247,2180,8632,"yes","no","Kenmore"
"14675",696500,5,2.25,3210,61419,1.5,0,0,3,8,3210,0,1979,0,98077,47.7632,-122.09,2820,48351,"yes","no","Woodinville"
"11451",660000,3,2.75,2210,4000,2,0,0,3,8,2210,0,2008,0,98053,47.6954,-122.017,2230,4674,"yes","no","Redmond"
"13627",240000,4,1.5,1780,14810,1,0,0,4,8,1180,600,1950,0,98032,47.3581,-122.288,1450,6728,"yes","no","Kent"
"15564",750000,3,3.75,2460,7630,1,0,0,5,8,1940,520,1976,0,98177,47.7147,-122.373,2000,7326,"yes","no","Seattle"
"19864",649000,3,2,1530,1442,3,0,0,3,9,1530,0,2015,0,98107,47.6692,-122.372,1620,1456,"yes","no","Seattle"
"12565",417000,4,2,2090,4000,1,0,0,3,6,1060,1030,1907,0,98144,47.5893,-122.299,1590,4000,"yes","no","Seattle"
"21386",392000,4,2.5,2130,4028,2,0,0,3,8,2130,0,2014,0,98146,47.5108,-122.363,1830,7817,"yes","no","Seattle"
"16620",338500,2,1,720,6050,1,0,0,2,5,720,0,1951,0,98125,47.7259,-122.29,1480,7280,"no","no","Seattle"
"13123",319950,3,2.5,1980,9907,2,0,0,3,8,1980,0,1991,0,98022,47.1903,-122.013,2050,9907,"yes","no","Enumclaw"
"18190",770000,5,3,2370,6000,1.5,0,2,3,8,1340,1030,1926,2003,98107,47.6645,-122.358,1350,4500,"yes","yes","Seattle"
"13191",325000,2,1,1080,5000,1,0,0,3,7,1080,0,1954,0,98106,47.5682,-122.359,1010,5000,"yes","no","Seattle"
"16458",810000,3,2.5,3140,10983,2,0,0,3,10,3140,0,1991,0,98075,47.5595,-122.04,3140,10983,"yes","no","Sammamish"
"18567",196000,3,1,1220,6719,1,0,0,3,6,1220,0,1953,0,98198,47.4187,-122.329,1580,7200,"yes","no","Seattle"
"17016",488000,3,1.75,2180,14734,2,0,0,3,9,2180,0,1990,0,98045,47.4831,-121.767,2300,21618,"yes","no","North Bend"
"7789",325000,5,2.75,2130,6222,1,0,0,3,7,1300,830,1991,0,98118,47.5272,-122.276,2130,6222,"yes","no","Seattle"
"15643",561000,3,2.25,1710,4140,2,0,0,3,8,1710,0,2004,0,98029,47.5498,-121.997,1730,3680,"yes","no","Issaquah"
"662",496500,4,2.5,2250,14440,1,0,0,3,7,1550,700,1967,0,98027,47.5221,-122.045,2090,11400,"yes","no","Issaquah"
"10287",401500,4,2.5,3140,94525,2,0,0,4,8,2280,860,1977,0,98042,47.4155,-122.163,1910,14300,"yes","no","Kent"
"7663",365000,3,2.25,1960,1985,2,0,0,3,7,1750,210,2003,0,98118,47.5419,-122.289,1760,1985,"yes","no","Seattle"
"16759",665000,3,2,1620,2640,1.5,0,0,5,8,1620,0,1929,0,98115,47.6884,-122.322,1470,4080,"yes","no","Seattle"
"3811",799000,3,1.5,2210,6300,1.5,0,0,5,8,2210,0,1916,0,98144,47.5892,-122.29,2700,6300,"yes","no","Seattle"
"7005",365000,2,1,680,2550,1,0,0,4,5,680,0,1901,0,98117,47.6767,-122.388,1120,5100,"yes","no","Seattle"
"19596",300000,3,2.25,2000,7560,1,0,0,3,7,1400,600,1979,0,98055,47.4798,-122.228,2040,6949,"yes","no","Renton"
"1895",1575000,4,3.75,3810,9916,2,0,0,3,11,3810,0,1989,0,98040,47.5739,-122.234,3040,11250,"yes","no","Mercer Island"
"8578",535000,2,1,1040,5527,1,0,0,3,7,1040,0,1951,0,98115,47.6774,-122.284,2080,7020,"yes","no","Seattle"
"13643",570000,6,2.5,3370,15625,1,0,0,3,8,1770,1600,1964,0,98166,47.4223,-122.343,2790,15681,"yes","no","Seattle"
"17332",543500,4,2.5,2550,5835,2,0,0,3,8,2550,0,1998,0,98065,47.5373,-121.87,2420,5817,"yes","no","Snoqualmie"
"9777",375000,6,2,1900,8057,1,0,0,4,7,1170,730,1959,0,98133,47.762,-122.335,2090,8626,"yes","no","Seattle"
"17699",225000,3,2.5,2000,9202,2,0,0,4,7,2000,0,1992,0,98038,47.3516,-122.057,1750,7827,"yes","no","Maple Valley"
"14147",590000,4,2.25,2530,10611,1,0,0,5,8,1320,1210,1977,0,98006,47.5698,-122.132,2530,10125,"yes","no","Bellevue"
"4900",325000,3,1.75,2920,10573,1,0,0,4,7,2920,0,1964,0,98055,47.4429,-122.195,1560,10572,"yes","no","Renton"
"11444",630000,2,2.25,2550,5663,1,0,0,3,10,1720,830,2011,0,98056,47.5304,-122.202,2560,3828,"yes","no","Renton"
"14433",361000,3,1.75,2130,8742,1,0,3,3,7,1330,800,1955,0,98178,47.5057,-122.231,2380,7448,"yes","no","Seattle"
"8214",190000,1,0.75,930,29258,1,0,0,3,6,930,0,1941,0,98178,47.4837,-122.236,2000,18321,"yes","no","Seattle"
"871",642450,3,1.75,1830,4160,1,0,0,3,7,1230,600,1919,0,98144,47.5962,-122.288,1950,4160,"yes","no","Seattle"
"5404",497000,3,2.25,1450,1387,3,0,0,3,8,1450,0,2000,0,98115,47.6765,-122.302,1450,1429,"yes","no","Seattle"
"13223",243800,3,1,1140,27760,1,0,0,4,6,1140,0,1981,0,98027,47.5372,-121.972,1690,87300,"yes","no","Issaquah"
"17735",739000,4,3,2720,3800,2,0,0,5,8,1800,920,1919,0,98115,47.6756,-122.306,1940,4001,"yes","no","Seattle"
"4995",637000,4,2.75,2900,5803,2,0,0,3,9,2900,0,2007,0,98028,47.7368,-122.232,2900,6212,"yes","no","Kenmore"
"20197",860000,4,2.75,3160,8097,2,0,0,3,9,3160,0,2014,0,98033,47.6709,-122.166,2200,8097,"yes","no","Kirkland"
"13948",350000,4,2.25,2190,3850,2,0,0,3,7,2190,0,2006,0,98059,47.4854,-122.16,1900,3850,"yes","no","Renton"
"5629",406000,3,1.75,1390,7904,1,0,0,3,7,1390,0,1985,0,98056,47.4892,-122.181,1910,7904,"yes","no","Renton"
"7117",738950,4,2.75,2260,12005,1,0,0,4,8,2260,0,1956,1989,98005,47.6342,-122.171,1870,10800,"yes","yes","Bellevue"
"20228",380000,3,2.25,1520,1464,2,0,0,3,8,1240,280,2010,0,98126,47.543,-122.375,1710,1464,"yes","no","Seattle"
"5630",350000,3,1.75,1900,10225,1,0,0,4,8,1220,680,1963,0,98166,47.4781,-122.357,1850,12630,"yes","no","Seattle"
"4214",480680,3,2.5,1730,4924,2,0,0,3,8,1730,0,1996,0,98029,47.5672,-122.005,1610,4313,"yes","no","Issaquah"
"21039",370000,2,1,780,1133,2,0,0,3,7,780,0,2009,0,98144,47.5924,-122.295,1130,1270,"yes","no","Seattle"
"157",650000,5,3.5,3960,25245,2,0,0,3,9,2500,1460,1996,0,98056,47.525,-122.172,2640,13675,"yes","no","Renton"
"21177",687015,3,1.75,1470,873,3,0,0,3,10,1470,0,2009,0,98119,47.6256,-122.362,1410,967,"yes","no","Seattle"
"17102",660000,3,1,1210,9622,1,0,1,3,8,1210,0,1955,2009,98006,47.5728,-122.179,1580,9714,"yes","yes","Bellevue"
"17501",115000,2,1,790,7252,1,0,0,3,5,790,0,1930,0,98146,47.5048,-122.365,1260,11470,"yes","no","Seattle"
"11751",206000,3,1,1320,9239,1,0,0,4,7,1320,0,1968,0,98092,47.312,-122.183,1320,8415,"yes","no","Auburn"
"3706",230000,2,1,720,5913,1,0,0,3,6,720,0,1920,0,98118,47.5447,-122.27,1560,6600,"yes","no","Seattle"
"249",250000,4,2,2010,7312,1,0,0,4,7,2010,0,1976,0,98002,47.2785,-122.213,2010,7650,"yes","no","Auburn"
"10804",281000,3,1,1300,5782,1,0,0,4,6,1300,0,1959,0,98065,47.524,-121.821,1020,7200,"yes","no","Snoqualmie"
"20480",290000,2,1.5,770,850,2,0,0,3,7,770,0,2006,0,98116,47.5644,-122.388,1350,915,"yes","no","Seattle"
"7573",300000,4,2.5,2500,4750,2,0,0,3,8,2500,0,2003,0,98042,47.3666,-122.122,2690,4750,"yes","no","Kent"
"825",431000,3,1,1810,7200,1,0,0,4,7,1130,680,1954,0,98133,47.7493,-122.351,1810,8100,"yes","no","Seattle"
"20532",547000,3,2.5,1570,1452,2.5,0,0,3,9,1240,330,2007,0,98199,47.648,-122.396,1670,1596,"yes","no","Seattle"
"6298",1450000,3,2.75,3940,9671,1,0,4,5,9,2140,1800,1967,0,98006,47.5654,-122.158,3390,9360,"yes","no","Bellevue"
"1943",275000,3,1.75,1490,8000,1,0,0,3,8,1490,0,1978,0,98030,47.3817,-122.166,1740,8165,"yes","no","Kent"
"5037",280000,3,2,1470,8089,1,0,0,3,7,1470,0,1987,0,98198,47.3878,-122.316,1530,7721,"yes","no","Seattle"
"14241",862500,4,2.5,3220,4400,2,0,2,3,9,2180,1040,1937,0,98199,47.6325,-122.394,3000,5000,"yes","no","Seattle"
"13491",434900,3,2,1520,11067,1,0,0,3,7,1140,380,1983,0,98074,47.6326,-122.033,1280,11371,"yes","no","Sammamish"
"12259",365000,3,1.5,1310,8160,1,0,0,3,7,1310,0,1950,0,98133,47.7291,-122.339,1090,7560,"yes","no","Seattle"
"7785",400000,4,2.75,1240,3867,1,0,0,3,7,800,440,1987,0,98125,47.7157,-122.284,1150,7733,"yes","no","Seattle"
"8781",510000,2,1,1390,5544,1,0,0,3,7,930,460,1947,0,98105,47.6696,-122.267,1710,6200,"yes","no","Seattle"
"16824",482000,5,2.25,2230,9600,1,0,0,3,8,1320,910,1978,0,98077,47.7466,-122.076,2080,9760,"yes","no","Woodinville"
"19458",342000,3,2.25,1200,2845,2,0,0,3,7,1200,0,1986,0,98034,47.7151,-122.203,1220,2140,"yes","no","Kirkland"
"19873",437000,2,3,1460,1452,2,0,0,3,8,1140,320,2007,0,98136,47.5224,-122.39,1460,1452,"yes","no","Seattle"
"10447",3400000,4,4,4260,11765,2,0,0,3,11,3280,980,1939,2010,98112,47.638,-122.288,4260,10408,"yes","yes","Seattle"
"12493",475000,4,2.5,2320,10046,2,0,0,3,7,2320,0,2006,0,98065,47.5406,-121.887,2320,5253,"yes","no","Snoqualmie"
"10010",160000,3,1,1060,8000,1,0,0,4,6,1060,0,1927,0,98002,47.305,-122.218,1060,4697,"yes","no","Auburn"
"3451",419600,3,1.75,1680,8460,1,0,0,3,7,1180,500,1976,0,98133,47.7554,-122.353,1890,9529,"yes","no","Seattle"
"3931",210000,3,1,1520,8600,1,0,0,3,6,1040,480,1951,0,98168,47.5134,-122.335,1320,8600,"yes","no","Seattle"
"16188",1309500,4,2.5,2680,12215,1,1,4,3,9,1590,1090,1956,0,98166,47.4396,-122.353,2960,19964,"yes","no","Seattle"
"3497",697000,4,3,2820,2850,1.5,0,0,5,7,1860,960,1928,0,98117,47.6813,-122.367,1570,4500,"yes","no","Seattle"
"11770",325000,3,2.25,1570,43350,1,0,3,4,7,1570,0,1967,0,98022,47.2377,-122.016,1570,220849,"yes","no","Enumclaw"
"14838",552500,5,3,2320,7229,1,0,0,4,8,1370,950,1986,0,98052,47.697,-122.097,2090,7554,"yes","no","Redmond"
"19782",450000,5,3.5,3931,9497,2,0,0,3,10,2650,1281,2014,0,98023,47.3008,-122.386,3510,9497,"yes","no","Federal Way"
"2542",552500,3,2.5,2450,3582,2,0,0,3,9,2450,0,2008,0,98072,47.7749,-122.159,2490,5449,"yes","no","Woodinville"
"14151",290000,2,1,900,2728,2,0,0,3,7,900,0,1998,0,98144,47.5877,-122.298,900,2728,"yes","no","Seattle"
"18382",419995,3,2.25,1830,7500,1,0,0,4,7,1330,500,1968,0,98155,47.7574,-122.31,1830,8720,"yes","no","Seattle"
"404",437000,3,2.5,1750,22357,2,0,0,3,8,1750,0,1994,0,98045,47.4807,-121.779,2430,22357,"yes","no","North Bend"
"19676",280000,3,2.75,1740,5639,1,0,3,3,7,1740,0,2010,0,98022,47.1942,-121.977,2380,5331,"yes","no","Enumclaw"
"5865",1727000,4,2.25,3470,8000,1.5,0,1,3,9,2360,1110,1906,2002,98122,47.6149,-122.287,3010,8000,"yes","yes","Seattle"
"13630",445000,2,1,930,7740,1,0,0,1,5,930,0,1932,0,98148,47.4611,-122.324,1620,8584,"no","no","Seattle"
"13294",1125000,4,3.5,3170,4000,2,0,0,3,10,2340,830,1999,0,98112,47.6265,-122.298,1770,4000,"yes","no","Seattle"
"18009",275000,3,1.75,1580,8775,1,0,0,3,6,1220,360,1942,0,98146,47.4845,-122.335,1180,8775,"yes","no","Seattle"
"11558",365000,3,1.75,1820,5555,1,0,0,4,7,1030,790,1939,0,98103,47.6867,-122.352,1420,4000,"yes","no","Seattle"
"777",269950,3,2.5,1890,4838,2,0,0,3,8,1730,160,2002,0,98168,47.4802,-122.279,1910,7409,"yes","no","Seattle"
"2533",537000,3,2.5,1400,4800,1,0,0,3,7,1200,200,1921,0,98117,47.6865,-122.379,1440,3840,"yes","no","Seattle"
"8608",510000,3,1.75,1480,7040,1,0,0,3,7,1480,0,1974,0,98033,47.6723,-122.169,2040,7810,"yes","no","Kirkland"
"12269",350000,3,2.25,1190,1022,3,0,0,3,8,1190,0,1998,0,98103,47.6972,-122.349,1210,1171,"yes","no","Seattle"
"16394",926250,4,1.75,2390,17717,1,0,0,4,8,2390,0,1964,0,98040,47.5755,-122.218,2390,10730,"yes","no","Mercer Island"
"4222",379260,3,2.5,1730,7202,1,0,0,3,7,1330,400,1991,0,98198,47.4099,-122.329,2100,8125,"yes","no","Seattle"
"8828",565000,3,2.75,3210,15939,2,0,1,3,10,3210,0,1998,0,98023,47.3357,-122.351,2870,15939,"yes","no","Federal Way"
"14803",290000,5,2.5,2780,9652,1,0,0,4,8,1390,1390,1967,0,98001,47.3444,-122.271,1790,9652,"yes","no","Auburn"
"10083",577500,3,1.75,2140,13286,1,0,0,4,8,1220,920,1964,0,98006,47.5722,-122.128,2250,13286,"yes","no","Bellevue"
"4469",925000,4,3.75,4420,9492,2,0,1,3,9,3420,1000,1962,2005,98125,47.7211,-122.283,2880,9900,"yes","yes","Seattle"
"4076",252000,3,2.25,1570,8410,1,0,0,3,7,1180,390,1991,0,98022,47.1942,-121.99,1540,8410,"yes","no","Enumclaw"
"5603",269000,4,2.5,1594,7665,1,0,0,5,7,1088,506,1975,0,98002,47.3262,-122.211,1536,6000,"yes","no","Auburn"
"16927",501000,3,1.75,1480,8667,1,0,0,5,7,740,740,1954,0,98006,47.5718,-122.136,1600,10644,"yes","no","Bellevue"
"20080",449950,4,2.75,2320,4344,2,0,0,3,8,2320,0,2012,0,98059,47.4862,-122.163,2310,3770,"yes","no","Renton"
"8804",699950,3,3.25,2230,5460,1,0,1,4,8,1430,800,1977,0,98136,47.53,-122.388,2070,5600,"yes","no","Seattle"
"4120",405000,4,1.75,1690,8392,1,0,0,3,7,1190,500,1979,0,98028,47.773,-122.256,1880,9861,"yes","no","Kenmore"
"10540",1700000,4,3.5,4070,336283,2,0,0,3,11,4070,0,2006,0,98027,47.478,-122.038,3020,44613,"yes","no","Issaquah"
"2456",1220000,3,3.25,3960,6132,2,0,3,3,10,2600,1360,1933,0,98199,47.6396,-122.409,2730,5221,"yes","no","Seattle"
